画像,クラスタ
000000004.jpg,2
000000008.jpg,2
000000009.jpg,3
000000012.jpg,1
000000013.jpg,0
000000014.jpg,0
000000015.jpg,0
000000024.jpg,3
000000025.jpg,0
000000027.jpg,2
000000030.jpg,0
000000032.jpg,4
000000033.jpg,4
000000035.jpg,4
000000036.jpg,4
000000037.jpg,1
000000039.jpg,4
000000042.jpg,2
000000044.jpg,4
000000046.png,4
000000047.jpg,4
000000049.jpg,3
000000051.jpg,0
000000053.jpg,3
000000057.jpg,0
000000058.jpg,2
000000061.jpg,2
000000062.jpg,3
000000063.jpg,2
000000064.jpg,0
000000065.jpg,0
000000066.jpg,1
000000068.png,0
000000071.jpg,1
000000073.jpg,1
000000074.jpg,0
000000075.jpg,0
000000076.jpg,2
000000077.png,0
000000079.jpg,0
000000081.jpg,2
000000083.jpg,2
000000085.jpg,0
000000087.jpg,1
000000088.jpg,0
000000089.jpg,0
000000091.jpg,0
000000095.jpg,3
000000096.jpg,2
000000099.jpg,1
